Alarm,1,Ritual,1 minute,30 ft.,1 door/window/area,V,S,M,"tiny bell, silver wire",,,8 hours,,,,211,Audible or silent alarm triggered on entry by those you haven't said can enter,,Abjuration,,,,,,,,
Antimagic Field,8,,1 action,10 ft. radius,Self,V,S,M,powdered iron or filings,,Concentration,1 hour,,,,213,Erects a sphere around you in which all magic no longer works.,,Abjuration,,,,,,,,
Arcane Lock,2,,1 action,Touch,1 openable object,V,S,M,GOLD DUST,25 gp,,Until Dispelled,,,,215,Locks object until password is spoken or dispel/knock. Object break DC +10.,,Abjuration,,,,,,,,
Banishment,4,,1 action,60 ft.,1 target,V,S,M,item disliked by target,,Concentration,1 minute,CHA (Fail),,,217,Banish target to another plane; native of other plane doesn't return after 1 min.,One more creature,Abjuration,,,,,,,,
Blade Ward,0,,1 action,Self,Self,V,S,,,,,1 round,,,,218,Gain resistance to bludgeoning/piercing/slashing DMG from weapons.,,Abjuration,,,,,,,,
Counterspell,3,,1 reaction (spell cast),60 ft.,1 Spellcaster,,S,,,,,Instantaneous,See Details.,,,228,Interrupt spell <= 4th. You make casting ability check (DC 10 + spell level).,Interrupt spell <= new level.,Abjuration,,,,,,,,
Dispel Magic,3,,1 action,120 ft.,1 creature/object/magical effect,V,S,,,,,Instantaneous,,,,234,"End spell <= 3rd level. For >= 4th level, casting ability check DC=10+spell level.",End spell <= new level.,Abjuration,,,,,,,,
Globe of Invulnerability,6,,1 action,Self,10 ft. radius sphere,V,S,M,glass or crystal bead,,Concentration,1 minute,,,,245,Spells <= 5th level cannot affect those within the globe.,1 higher spell level blocked.,Abjuration,,,,,,,,
Glyph of Warding,3,,1 hour,Touch,See Sourcebook.,V,S,M,"incense, DIAMOND POWDER",200 gp,,Dispel/Triggered,,,,245,Create a magical trap.  See Sourcebook.,See Sourcebook.,Abjuration,,,,,,,,
Guards and Wards,6,,10 minutes,Touch,See Sourcebook.,V,S,M,See sourcebook.,10 gp,,24 hours,,,,248,Protect an area of space.  See Sourcebook.,,Abjuration,,,,,,,,
Imprisonment,9,,1 minute,30 ft.,1 creature,V,S,M,See Sourcebook.,Source.,,Until Dispelled,WIS (Fail),,,252,Magically restrain a creature.  See sourcebook.,,Abjuration,,,,,,,,
Mage Armor,1,,1 action,Touch,1 willing creature,V,S,M,piece of cured leather,,,8 hours,,,,256,"If target isn't wearing armor, its base AC becomes 13 + DEX modifier.",,Abjuration,,,,,,,,
Magic Circle,3,,1 minute,10 ft.,"10 ft. rad., 20 ft. high cylinder",V,S,M,HOLY WATER or Fe/Ag DUST,100 gp,,1 hour,,,,256,Hinder one creature type within cylinder.  See Sourcebook.,Duration increases 1 hour.,Abjuration,,,,,,,,
Mind Blank,8,,1 action,Touch,1 willing creature,V,S,,,,,24 hours,,,,259,"Target immune to psychic damage, charm, mind reading, divinations.",,Abjuration,,,,,,,,
Mordenkainen's Private Sanctum,4,,10 minutes,120 ft.,<= 100 ft. cube,V,S,M,"lead,glass,cloth,chrysolite",,,24 hours,,,,262,Create magically secure area.  See Sourcebook.,Extra 100 ft. per cube side,Abjuration,,,,,,,,
Nondetection,3,,1 action,Touch,"1 object, place, or willing target",V,S,M,DIAMOND DUST,25 gp,,8 hours,,,,263,Hide target from all divination and scrying magic.,,Abjuration,,,,,,,,
Planar Binding,5,,1 hour,60 ft.,1 extraplanar creature,V,S,M,JEWEL,1000 gp,,24 hours,CHA (Fail),,,265,"Bind celestial, elemental, fey, or fiend to serve you for spell duration.",See Sourcebook.,Abjuration,,,,,,,,
Prismatic Wall,9,,1 action,60 ft.,90x30 ft wall or 30ft dia. sphere,V,S,,,,,Instantaneous,See Sourcebook.,See Sourcebook.,See Sourcebook.,267,Create multicolored barrier with various effects.  See Sourcebook.,,Abjuration,,,,,,,,
Protection from Energy,3,,1 action,Touch,1 creature,V,S,,,,Concentration,1 hour,,,,270,"Creature gains resistance to one of: acid, cold, fire, lightning, or thunder.",,Abjuration,,,,,,,,
Protection from Evil and Good,1,,1 action,Touch,1 willing creature,V,S,M,holy water or powdered silver,,Concentration,10 minutes,,,,270,Protect against certain types of creatures.  See Sourcebook.,,Abjuration,,,,,,,,
Remove Curse,3,,1 action,Touch,1 creature or object,V,S,,,,,Instantaneous,,,,271,Remove curse creature or break object's curse attunement to any target.,,Abjuration,,,,,,,,
Shield,1,,1 reaction (get hit),Self,Self,V,S,,,,,1 round,,,,275,"Gain +5 bonus to AC, including triggering attack. Negates Magic Missile attacks.",,Abjuration,,,,,,,,
Stoneskin,4,,1 action,Touch,1 willing creature,V,S,M,DIAMOND DUST,100 gp,Concentration,1 hour,,,,278,"Target gains resistance to nonmagical bludgeoning, piercing, and slashing DMG.",,Abjuration,,,,,,,,
Symbol,7,,1 minute,Touch,1 surface or object,V,S,M,"Hg, P, DIAMOND and OPAL",1000 gp,,Dispel/Triggered,See Sourcebook.,See Sourcebook.,See Sourcebook.,280,Inscribe harmful magical glyph on surface.  See Sourcebook.,,Abjuration,,,,,,,,
Acid Splash,0,,1 action,60 ft.,1 or 2 adjacent targets,V,S,,,,,Instantaneous,DEX (Fail),Acid,DAM: 1d6,211,"DAM: Add extra 1d6 at 5th level, 11th level, and 17th level.",,Conjuration,,,,,,,,
Arcane Gate,6,,1 action,500 ft.,"Point(10ft),Point(500ft.)",V,S,,,,Concentration,10 minutes,,,,214,Create two linked portals 10ft. across anybody can travel between.,,Conjuration,,,,,,,,
Cloud of Daggers,2,,1 action,60 ft.,5 ft. cube,V,S,M,sliver of glass,,Concentration,1 minute,,Slashing,DAM: 4d4,222,DAM taken on entering or starting turn in area.,Extra 2d4 DAM.,Conjuration,,,,,,,,
Cloudkill,5,,1 action,120 ft.,20 ft. radius sphere,V,S,,,,Concentration,10 minutes,CON (Half DAM),Poison,DAM: 5d8,222,DAM taken on entering or starting turn in area. Fog moves away 10 ft. per turn.,Extra 1d8 DAM.,Conjuration,,,,,,,,
Conjure Elemental,5,,1 minute,90 ft.,,V,S,M,See Sourcebook,,Concentration,1 hour,,,,225,Summon elemental CR <= 5.  Obeys commands. Hostile if control is lost.,Increase max CR by 1.,Conjuration,,,,,,,,
Conjure Minor Elementals,4,,1 minute,90 ft.,,V,S,,,,Concentration,1 hour,,,,226,Summon elementals (total CR <= 2) that obey commands.,6th: CR <= 4; 8th: CR <= 6,Conjuration,,,,,,,,
Demiplane,8,,1 action,60 ft.,,,S,,,,,1 hour,,,,231,Create door to 30 ft. cubic room in demiplane. Trapped if there when spell ends.,,Conjuration,,,,,,,,
Dimension Door,4,,1 action,500 ft.,Self (and ally within 5 ft.),V,,,,,,Instantaneous,,,,233,"Teleport yourself and ally to location. If occupied, 4d6 force DAM and spell fails.",,Conjuration,,,,,,,,
Drawmij's Instant Summons,6,Ritual,1 minute,Touch,1 object <= 10 lb.,V,S,M,sapphire,1000 gp,,Until Dispelled,,,,235,Speak item name and crush gem to summon object unless it's held by other.,,Conjuration,,,,,,,,
Evard's Black Tentacles,4,,1 action,90 ft.,20 ft. square,V,S,M,piece of octopus temtacle,,Concentration,1 minute,DEX while in area (Fail),Bludgeoning,DAM: 3d6,238,Also restrained. Restrained take DAM every turn. STR/DEX check to get free.,,Conjuration,,,,,,,,
Find Familiar,1,Ritual,1 hour,10 ft.,,V,S,M,"CHARCOAL,INCENSE,HERBS",10 gp,,Instantaneous,,,,240,Gain the service of a familiar.  See Sourcebook.,,Conjuration,,,,,,,,
Flaming Sphere,2,,1 action,60 ft.,5 ft. diameter sphere,V,S,M,"tallow,brimstone,iron powder",,Concentration,1 minute,DEX (Half DAM),Fire,DAM: 2d6,242,Creatures next to spheres at end of turn take DAM. Move spheres 30 ft.,Extra 1d6 DAM.,Conjuration,,,,,,,,
Fog Cloud,1,,1 action,120 ft.,20 ft. radius sphere,V,S,,,,Concentration,1 hour,,,,243,Creates a foggy sphere.  Can be banished by moderate wind.,Increase radius by 20 ft.,Conjuration,,,,,,,,
Gate,9,,1 action,60 ft.,5-20 ft. diameter gate,V,S,M,diamond,5000 gp,Concentration,1 minute,,,,244,Create portal to precise location on another plane or near a specific person.,,Conjuration,,,,,,,,
Grease,1,,1 action,60 ft.,10 ft. square,V,S,M,pork rind or butter,,,1 minute,DEX (Fail),,,246,Creatures in area or entering area fall prone if they fail DEX save.,,Conjuration,,,,,,,,
Incendiary Cloud,8,,1 action,150 ft.,20 ft. radius sphere,V,S,,,,Concentration,1 minute,DEX every turn (Half DMG),Fire,DAM: 10d8,253,Targets make save when cloud created or entering or exiting it. Cloud move: 10ft.,,Conjuration,,,,,,,,
Leomund's Secret Chest,4,,1 action,Touch,1 chest,V,S,M,"chest(5000), replica chest(50)",5050 gp,,Instantaneous,,,,254,Transport chest back and forth from Ethereal Plane using replica.,,Conjuration,,,,,,,,
Mage Hand,0,,1 action,30 ft.,,V,S,,,,,1 minute,,,,256,Create spectral hand that manipulates objects. Can pick up <= 10 lbs.,,Conjuration,,,,,,,,
Maze,8,,1 action,60 ft.,1 creature,V,S,,,,Concentration,10 minutes,See Details,,,258,Target uses action each turn to make INT check (DC 20) to escape.,,Conjuration,,,,,,,,
Misty Step,2,,1 bonus action,Self,Self,V,,,,,,Instantaneous,,,,260,Teleport <= 30 ft. away to unoccupied location.,,Conjuration,,,,,,,,
Mordenkainen's Faithful Hound,4,,1 action,30 ft.,,V,S,M,"silver whistle, bone, thread",,,8 hours,,Piercing,DAM: 4d8,261,Spectral hound guards area and can attack hostiles.  See Sourcebook.,,Conjuration,,,,,,,,
Mordenkainen's Magnificent Mansion,7,,1 minute,300 ft.,,V,S,M,"portal(5),marble(5),spoon(5)",15 gp,,24 hours,,,,261,Summon portal to 50000 cubic ft. mansion with food for 100 people.,,Conjuration,,,,,,,,
Plane Shift,7,,1 action,Touch,1 unwilling or Self + 8 willing,V,S,M,forked metal rod,250 gp,,Instantaneous,Melee Spell Attack + CHA (Fail),,,266,Transport to another plane. You specify general location or teleportation circle.,,Conjuration,,,,,,,,
Poison Spray,0,,1 action,10 ft.,1 creature,V,S,,,,,Instantaneous,CON (Fail),Poison,DAM: 1d12,266,"DAM increase. 5th level: 2d12, 11th level: 3d12, 17th level: 4d12.",,Conjuration,,,,,,,,
Sleet Storm,3,,1 action,150 ft.,40 ft. rad. 20 ft. tall cylinder,V,S,M,"pinch of dust, drops of water",,Concentration,1 minute,DEX (Fail),,,276,"Difficult terrain.Each turn,DEX save or fall prone,CON save or lose concentration.",,Conjuration,,,,,,,,
Stinking Cloud,3,,1 action,90 ft.,20 ft. radius sphere,V,S,M,rotten egg or skunk cabbage,,Concentration,1 minute,CON (Fail),,,278,Creatures that need to breathe spend turn retching. Wind disperses cloud.,,Conjuration,,,,,,,,
Teleport,7,,1 action,10 ft.,Self and <= 8 creatures,V,,,,,,Instantaneous,,,,281,Teleport yourself and willing creatures to a distant location.  See Sourcebook.,,Conjuration,,,,,,,,
Teleportation Circle,5,,1 minute,10 ft.,10 ft. diameter circle,V,,M,CHALK & INK mixed with gems,50 gp,,1 round,,,,282,Any stepping inside circle teleport to permanent teleportation circle.,,Conjuration,,,,,,,,
Tenser's Floating Disk,1,Ritual,1 action,30 ft.,3 ft. diameter circle,V,S,M,drop of mercury,,,1 hour,,,,282,Create floating disk that holds 500 lbs and stays within 20 ft. of you.,,Conjuration,,,,,,,,
Unseen Servant,1,Ritual,1 action,60 ft.,,V,S,M,"piece of string, bit of wood",,,1 hour,,,,284,"Create invisible force that can perform simple, menial tasks for you.",,Conjuration,,,,,,,,
Web,2,,1 action,60 ft.,20 ft. cube,V,S,M,bit of spiderweb,,Concentration,1 hour,DEX (Fail),,,287,Every turn:DEX save or restrain;STR save to escape.Burning webs:2d4 fire DAM.,,Conjuration,,,,,,,,
Wish,9,,1 action,Self,Self,V,,,,,,Instantaneous,,,,288,Replicate and spell <= 8th level or other powerful effect granted. See Sourcebook.,,Conjuration,,,,,,,,
Arcane Eye,4,,1 action,30 ft.,,V,S,M,a bit of bat fur,,Concentration,1 hour,,,,214,Create invisible eye with darkvision(30ft) moves 30ft/rd you can see through.,,Divination,,,,,,,,
Clairvoyance,3,,10 minutes,1 mile,,V,S,M,jeweled horn or glass eye,100 gp,Concentration,10 minutes,,,,222,Create sensor in area you can see or hear through.,,Divination,,,,,,,,
Comprehend Languages,1,Ritual,1 action,Self,,V,S,M,pinch of soot and salt,,,1 hour,,,,224,Know literal meaning of any speech. Understand written words while touching.,,Divination,,,,,,,,
Contact Other Plane,5,Ritual,1 minute,Self,,V,,,,,,1 minute,"INT DC:15(DAM, insane for day)",Psychic,DAM: 6d6,226,Contact extraplanar being. YOU make save. 1-word answers to 5 questions.,,Divination,,,,,,,,
Detect Magic,1,Ritual,1 action,Self,30 ft. radius,V,S,,,,Concentration,10 minutes,,,,231,Sense presence of magic. Use action to see auras around creatures/objects.,,Divination,,,,,,,,
Detect Thoughts,2,,1 action,Self,30 ft. radius,V,S,M,a copper piece,,Concentration,1 minute,See Sourcebook.,,,231,Read thoughts of those around you.  See Sourcebook.,,Divination,,,,,,,,
Foresight,9,,1 minute,Touch,1 willing creature,V,S,M,hummingbird feather,,,8 hours,,,,244,"Not surprised. Advantage:attacks,checks,saves. Disadvantage getting attacked.",,Divination,,,,,,,,
Identify,1,Ritual,1 minute,Touch,1 object,V,S,M,"pearl, owl feather",100 gp,,Instantaneous,,,,252,Learn what an item is and what spells affect it.,,Divination,,,,,,,,
Legend Lore,5,,10 minutes,Self,"1 person, place, or object",V,S,M,"INCENSE(250),4 ivory strips(50)",300 gp,,Instantaneous,,,,254,Learn lore about target. Information is accurate but might use figurative words.,,Divination,,,,,,,,
Locate Creature,4,,1 action,Self,1 creature familiar to you,V,S,M,bloodhound fur,,,Instantaneous,,,,256,Sense creature direction within 1000 ft. or locate it within 30 ft.,,Divination,,,,,,,,
Locate Object,2,,1 action,Self,1 object familiar to you,V,S,M,forked twig,,Concentration,10 minutes,,,,256,Sense object direction within 1000 ft. or locate it within 30 ft.,,Divination,,,,,,,,
Rary's Telepathic Bond,5,Ritual,1 action,30 ft.,<= 8 willing creatures,V,S,M,eggshell of 2 different creatures,,,1 hour,,,,270,"Targets can communicate telepathically with each other, but not to other planes.",,Divination,,,,,,,,
Scrying,5,,10 minutes,Self,1 creature,V,S,M,scrying focus,1000 gp,Concentration,10 minutes,WIS (Fail),,,273,Spy on a target located on the same plane as you.  See Sourcebook.,,Divination,,,,,,,,
See Invisibility,2,,1 action,Self,Self,V,S,M,pinch of talc and silver powder,,,1 hour,,,,274,See invisible and ethereal creatures.,,Divination,,,,,,,,
Tongues,3,,1 action,Touch,1 creature,V,,M,clay model of a ziggurat,,,1 hour,,,,283,Target understands any spoken language and is understood by everyone else.,,Divination,,,,,,,,
True Seeing,6,,1 action,Touch,1 willing creature,V,S,M,OINTMENT FOR EYES,25 gp,,1 hour,,,,284,"Target creature gains truesight, sees secret doors, Ethereal Plane. Range 120 ft.",,Divination,,,,,,,,
True Strike,0,,1 action,30 ft.,1 creature,,S,,,,Concentration,1 round,,,,284,Next turn you gain advantage on first attack against the target.,,Divination,,,,,,,,
Antipathy/Sympathy,8,,1 hour,60 ft.,1 Huge or smaller target,V,S,M,lump of alum or honey,,,10 days,WIS (Fail),,,214,Target object/creature attracts or repels specifc creature types.,,Enchantment,,,,,,,,
Charm Person,1,,1 action,30 ft.,1 humanoid,V,S,,,,,1 hour,Wisdom (Fail),,,221,Charm target so it treats you as friendly. Gets advantage to save if fighting you.,One more target <= 30ft.,Enchantment,,,,,,,,
Confusion,4,,1 action,90 ft.,10 ft. radius sphere,V,S,M,3 nut shells,,Concentration,1 minute,WIS (Fail),,,224,Targets can't take reactions and do random actions.  See Sourcebook.,Increase radius by 5ft.,Enchantment,,,,,,,,
Crown of Madness,2,,1 action,120 ft.,1 humanoid,V,S,,,,Concentration,1 minute,WIS every turn (Fail),,,229,Charm humanoid to attack your target of choice.  Use action to keep control.,,Enchantment,,,,,,,,
Dominate Monster,8,,1 action,60 ft.,1 creature,V,S,,,,Concentration,1 hour,WIS (Fail),,,235,Charm monster to give it commands. Has advantage to save if attacking it.,9th: Duration is 8 hours.,Enchantment,,,,,,,,
Dominate Person,5,,1 action,60 ft.,1 person,V,S,,,,Concentration,1 minute,WIS (Fail),,,235,Charm humanoid to give it commands. Has advantage to save if attacking it.,See Sourcebook.,Enchantment,,,,,,,,
Feeblemind,8,,1 action,150 ft.,1 creature,V,S,M,"clay,crystal,or mineral spheres",,,Instantaneous,"INT (DMG, but no INT effect)",Psychic,DAM: 4d6,239,Creature INT and CHA scores become 1.  See Sourcebook.,,Enchantment,,,,,,,,
Friends,0,,1 action,Self,1 non-hostile creature,,S,M,makeup applied to face,,Concentration,1 minute,,,,244,"Advantage on CHA checks to target, who knows magic used once spell ends.",,Enchantment,,,,,,,,
Geas,5,,1 minute,60 ft.,1 creature,V,,,,,,30 days,WIS (Fail),See Details.,See Details.,244,Target must perform task you set. 5d10 psychic DAM whenever it disobeys.,7th: lasts 1 year;9th: forever,Enchantment,,,,,,,,
Hold Monster,5,,1 action,90 ft.,1 creature,V,S,M,small straight piece of iron,,Concentration,1 minute,WIS (Fail),,,251,Target is paralyzed. New saving throw at end of turn. Doesn't work on undead.,1 additional creature.,Enchantment,,,,,,,,
Hold Person,2,,1 action,60 ft.,1 humanoid,V,S,M,small straight piece of iron,,Concentration,1 minute,WIS (Fail),,,251,Target is paralyzed. New saving throw at end of turn.,1 additional creature.,Enchantment,,,,,,,,
Mass Suggestion,6,,1 action,60 ft.,<= 12 creatures,V,,M,"snake's tongue, honeycomb",,,24 hours,WIS (Fail),,,258,Make creatures accept reasonable sounding suggestions. See Sourcebook.,7th: 10 days;8th:30;9th:366,Enchantment,,,,,,,,
Modify Memory,5,,1 action,30 ft.,,V,S,,,,Concentration,1 minute,WIS (Fail),,,261,Reshape another creature's memories.  See Sourcebook.,See Sourcebook.,Enchantment,,,,,,,,
Otto's Irresistable Dance,6,,1 action,30 ft.,1 creature,V,,,,,Concentration,1 minute,,,,264,No movement.Disadvantage on DEX saves and attacks.Use action to WIS save.,,Enchantment,,,,,,,,
Power Word Kill,9,,1 action,60 ft.,1 creature,V,,,,,,Instantaneous,,,See Details.,266,"If target has <= 100 HP, it dies instantly. No effect otherwise. No saving throw.",,Enchantment,,,,,,,,
Power Word Stun,8,,1 action,60 ft.,1 creature,V,,,,,,Instantaneous,See Details.,,,267,Target <= 150 HP is stunned. Nothing otherwise. CON save at end of turn to end.,,Enchantment,,,,,,,,
Sleep,1,,1 action,90 ft.,20 ft. radius,V,S,M,pinch of fine sand,,,1 minute,,,,276,5d8 total HP of creatures in area fall asleep. Go in order of lowest HP to hightest.,Addition 2d8 HP fall asleep.,Enchantment,,,,,,,,
Suggestion,2,,1 action,30 ft.,1 creature,V,,M,"snake's tongue, honeycomb",,Concentration,8 hours,WIS (Fail),,,279,Target follows reasonable course of action you suggest. Can specify conditions.,,Enchantment,,,,,,,,
Tasha's Hideous Laughter,1,,1 action,30 ft.,1 creature,V,S,M,tiny tarts and a feather,,Concentration,1 minute,WIS (Fail),,,280,"Target (INT > 4) is prone, incapacitated, can't stand. WIS save each turn to end.",,Enchantment,,,,,,,,
Bigby's Hand,5,,1 action,120 ft.,,V,S,M,"eggshell, snakeskin glove",,Concentration,1 minute,,Force,See Sourcebook.,218,Create giant hand to do various things.  See Sourcebook.,See Sourcebook.,Evocation,,,,,,,,
Burning Hands,1,,1 action,Self,15 ft. cone,V,S,,,,,Instantaneous,DEX (Half DAM),Fire,DAM: 3d6,220,Flammable objects ignite.,Extra 1d6 DAM.,Evocation,,,,,,,,
Chain Lightning,6,,1 action,150 ft.,"1 target, then 3 within 30ft.",V,S,M,"bit of fur,glass,3 silver pins",,,Instantaneous,DEX (Half DAM),Lightning,DAM: 10d8,221,Bolt hits one target then forks to up to 3 others.,One more bolt in fork.,Evocation,,,,,,,,
Chromatic Orb,1,,1 action,90 ft.,1 creature,V,S,M,diamond,50 gp,,Instantaneous,Ranged Spell Attack,See Details,DAM: 3d8,221,"Choose type: acid, cold, fire, lightning, poison, or thunder.",Extra 1d8 DAM.,Evocation,,,,,,,,
Cone of Cold,5,,1 action,Self,60 ft. cone,V,S,M,crystal or glass cone,,,Instantaneous,CON (Half DAM),Cold,DAM: 8d8,224,Creatures killed become frozen statues.,Extra 1d8 DAM.,Evocation,,,,,,,,
Contingency,6,,10 minutes,Self,Self,V,S,M,ivory statue of self,1500 gp,,10 days,,,,227,Spell <= 5th level activates when condition occurs. That spell's slot used too.,,Evocation,,,,,,,,
Continual Flame,2,,1 action,Touch,1 object,V,S,M,RUBY DUST,50 gp,,Until Dispelled,,,,227,Heatless flame comes from object. Can be covered but not snuffed out.,,Evocation,,,,,,,,
Dancing Lights,0,,1 action,120 ft.,,V,S,M,phosphorous or glowworm,,Concentration,1 minute,,,,230,"Create 4 glowing, hovering objects that shed light out 10 ft. Can move 60 ft.",,Evocation,,,,,,,,
Darkness,2,,1 action,60 ft.,15 ft. radius sphere,V,,M,bat fur and pitch or coal,,Concentration,10 minutes,,,,230,Creates darkness normal light can't dispel. Dispels light spells <= 2nd level.,,Evocation,,,,,,,,
Delayed Blast Fireball,7,,1 action,150 ft.,20 ft. radius sphere,V,S,M,tiny ball of guano and sulfur,,Concentration,1 minute,DEX (Half DAM),Fire,DAM: 12d6,230,Creates spot where fireball will erupt.  See Sourcebook.,Extra 1d6 base DAM.,Evocation,,,,,,,,
Fire Bolt,0,,1 action,120 ft.,1 creature/object,V,S,,,,,Instantaneous,Ranged Spell Attack,Fire,DAM: 1d10,242,"DAM at 5th level: 2d10, at 11th level: 3d10, at 17th level: 4d10.",,Evocation,,,,,,,,
Fire Shield,4,,1 action,Self,Self,V,S,M,bit of phosphorous or a firefly,,,10 minutes,,Fire/Cold,DAM: 2d8,242,Choose warm or chill shield. Melee attackers take DMG. Light out 10 ft./20 ft.,,Evocation,,,,,,,,
Fireball,3,,1 action,150 ft.,20 ft. radius sphere,V,S,M,tiny ball of guano and sulfur,,,Instantaneous,DEX (Half DAM),Fire,DAM: 8d6,241,Fire spreads around corners and ignites flammable objects.,Extra 1d6 DAM.,Evocation,,,,,,,,
Forcecage,7,,1 action,100 ft.,20 ft. square or 10 ft. cube,V,S,M,ruby dust,1500 gp,,1 hour,See Details.,,,243,Creatures stuck in cage can only leave using magic after CHA save.,,Evocation,,,,,,,,
