Alarm,1,Ritual,1 minute,30 ft.,1 door/window/area,V,S,M,"tiny bell, silver wire",,,8 hours,,,,211,Audible or silent alarm triggered on entry by those you haven't said can enter,,Abjuration,,,,,,,,
Gust of Wind,2,,1 action,Self,60 ft. line 10 ft. wide,V,S,M,a legume seed,,Concentration,1 minute,STR (Fail),,,248,Push targets 15 ft. in directon of wind. Creatures move half speed against wind.,,Evocation,,,,,,,,
Ice Storm,4,,1 action,300 ft.,"20 ft. rad, 40ft. high cylinder",V,S,M,"pinch of dust, drop of water",,,Instantaneous,DEX (Half DAM),Bludgeoning+Cold,DAM: 2d8+4d6,252,Storm's area of effect becomes difficult terrain until end of next turn.,Extra 1d8 bludgeoning DAM.,Evocation,,,,,,,,
Leomund's Tiny Hut,3,Ritual,1 minute,Self,10 ft. radius hemisphere,V,S,M,small crystal bead,,,8 hours,,,,255,"Protect <= 9 creatures in hut from spells, creatures, elements.",,Evocation,,,,,,,,
Light,0,,1 action,Touch,1 object <= 10 ft. cube,V,,M,firefly or phosphorescent moss,,,1 hour,DEX (Fail),,,255,Object sheds light in 20 ft. radious. Hostile targets get DEX save.,,Evocation,,,,,,,,
Lightning Bolt,3,,1 action,Self,100 ft. line,V,S,M,bit of fur and glass rod,,,Instantaneous,DEX (Half DAM),LIghtning,DAM: 8d6,255,Lightning ignites flammable objects.,Extra 1d6 DAM.,Evocation,,,,,,,,
Magic Missile,1,,1 action,120 ft.,Any creature in range.,V,S,,,,,Instantaneous,,Force,DAM:(1d4+1)x3,257,You choose the target for each dart that does 1d4+1 DAM.,One additional dart.,Evocation,,,,,,,,
Melf's Acid Arrow,2,,1 action,90 ft.,1 target,V,S,M,"rhubarb leaf, adder's stomach",,,Instantaneous,Ranged Spell Attack,Acid,DAM: 4d4,259,"Half DAM on miss. On hit, target also takes 2d4 acid DAM at end of next turn.",1d4 DAM on both effects,Evocation,,,,,,,,
Meteor Swarm,9,,1 action,1 mile,40 ft. radius sphere,V,S,,,,,Instantaneous,DEX (Half DAM),Fire+Bludgeoning,DAM20d6+20d6,259,Also damages objects and ignites flammable objects.,,Evocation,,,,,,,,
Mordenkainen's Sword,7,,1 action,60 ft.,,V,S,M,mini platinum sword,250 gp,Concentration,1 minute,Melee Spell Attack,Force,DAM: 3d10,262,Use bonus action each turn to move sword <= 20 ft. and attack again.,,Evocation,,,,,,,,
Otiluke's Freezing Sphere,6,,1 action,300 ft.,60 ft. radius sphere,V,S,M,small crystal sphere,,,Instantaneous,CON (Half DAM),Cold,DAM: 10d6,263,Water freezes. Can give globe to another who fires it and spell takes effect then.,Extra 1d6 DAM.,Evocation,,,,,,,,
Otiluke's Resilient Sphere,4,,1 action,30 ft.,1 creature or object,V,S,M,"hemispheres of crystal,arabic",,Concentration,1 minute,DEX (Fail),,,264,Trap creature in sphere.  Sphere only destroyed by Disintegrate spell.,,Evocation,,,,,,,,
Prismatic Spray,7,,1 action,Self,60 ft. cone,V,S,,,,,Instantaneous,See Sourcebook.,See Sourcebook.,See Sourcebook.,267,Send a rainbow of negative effects at enemies.  See Sourcebook.,,Evocation,,,,,,,,
Ray of Frost,0,,1 action,60 ft.,1 creature in range,V,S,,,,,Instantaneous,Ranged Spell Attack,Cold,DAM: 1d8,271,"Speed -10ft. DAM increase. 5th level: 2d8, 11th level: 3d8, 17th level: 4d8.",,Evocation,,,,,,,,
Scorching Ray,2,,1 action,120 ft.,<= 3 creatures,V,S,,,,,Instantaneous,Ranged Spell Attack,Fire,DAM: 2d6x3,273,Shoot 3 rays at up to 3 targets.,One additional ray.,Evocation,,,,,,,,
Sending,3,,1 action,Unlimited,1 creature,V,S,M,short piece of fine copper wire,,,1 round,,,,274,Send <= 25 word message to known creature. Get similar reply.,,Evocation,,,,,,,,
Shatter,2,,1 action,60 ft.,10 ft. sphere,V,S,M,chip of mica,,,Instantaneous,CON (Half DAM),Thunder,DAM: 3d8,275,Inorganic creatures have disadvantage to save. Objects take DAM too.,Extra 1d8 DAM.,Evocation,,,,,,,,
Shocking Grasp,0,,1 action,Touch,1 creature,V,S,,,,,Instantaneous,Melee Spell Attack,Lightning,DAM: 1d8,275,Target can't take reactions until next turn. Advantage if target has metal armor.,,Evocation,,,,,,,,
Sunbeam,6,,1 action,Self,60 ft. line,V,S,M,magnifying glass,,Concentration,1 minute,"CON (Half DAM, no blindness)",Radiant,DAM: 6d8,279,Creatures are blinded until your next turn. Use your action to make a new line.,,Evocation,,,,,,,,
Sunburst,8,,1 action,150 ft.,60 ft. radius sphere,V,S,M,fire and piece of sunstone,,,Instantaneous,"CON (Half DAM, no blindness)",Radiant,DAM: 12d6,279,Creatures are blinded for 1 minute (CON save at end of turn to end).,,Evocation,,,,,,,,
Telepathy,8,,1 action,Unlimited,1 willing creature,V,S,M,pair of linked silver rings,,,24 hours,,,,281,"Telepathically communicate words, sounds, images with target (INT >= 1).",,Evocation,,,,,,,,
Thunderwave,1,,1 action,Self,15 ft. cube,V,S,,,,,Instantaneous,"CON (Half DAM, no push)",Thunder,DAM: 2d8,282,Creatures failing save and objects pushed 10 ft. Boom heard for 300 ft.,Extra 1d8 DAM.,Evocation,,,,,,,,
Wall of Fire,4,,1 action,120 ft.,See Sourcebook.,V,S,M,small piece of phosphorous,,Concentration,1 minute,DEX (Half DAM),Fire,DAM: 5d8,285,Those entering or ending turn on one side of the wall take 5d8 fire DAM.,Extra 1d8 DAM.,Evocation,,,,,,,,
Wall of Force,5,,1 action,120 ft.,See Sourcebook.,V,S,M,powder from clear gemstone,,Concentration,10 minutes,,,,285,Create impenetrable wall (even into Ethereal Plane) only unmade by Disintegrate.,,Evocation,,,,,,,,
Wall of Ice,6,,1 action,120 ft.,See Sourcebook.,V,S,M,small piece of quartz,,Concentration,10 minutes,DEX (Half DAM),Cold,DAM: 10d6,285,"Ice:AC 12, 30 HP. Moving through ice:take 5d6 cold DAM or CON save for half.","Extra DAM:2d6,1d6 moving",Evocation,,,,,,,,
Wall of Stone,5,,1 action,120 ft.,See Sourcebook.,V,S,M,small block of granite,,Concentration,10 minutes,"DEX (Move away, not trapped)",,,287,Create wall of stone or other stone structure.  See Sourcebook.,,Evocation,,,,,,,,
Witch Bolt,1,,1 action,30 ft.,1 creature,V,S,M,twig from tree struck by lightning,,Concentration,1 minute,Ranged Spell Attack,Lightning,DAM: 1d12,289,Use action to auto hit target hit last round for 1d12 lightning DAM if in range.,Extra 1d12 DAM.,Evocation,,,,,,,,
Blur,2,,1 action,Self,Self,V,,,,,Concentration,1 minute,,,,219,Creatures relying on sight have disadvantage to attack.,,Illusion,,,,,,,,
Color Spray,1,,1 action,Self,15 ft. cone,V,S,M,pinch of colored powder,,,1 round,,,,222,"Blinds 6d10 HP worth of creatures, starting with lowest HP.",Extra 2d10 HP.,Illusion,,,,,,,,
Creation,5,,1 minute,30 ft.,,V,S,M,bit of matter you want to make,,,See Sourcebook.,,,,229,Make nonliving object no larger than 5 ft. cube.  See Sourcebook.,Cube size increases by 5 ft.,Illusion,,,,,,,,
Disguise Self,1,,1 action,Self,Self,V,S,,,,,1 hour,,,,233,Create illusion to appear as someone else.  Foiled by Investigation vs. spell DC.,,Illusion,,,,,,,,
Dream,5,,1 minute,See Sourcebook.,1 creature,V,S,M,"sand,ink,quill from asleep bird",,,8 hours,See Sourcebook.,See Sourcebook.,See Sourcebook.,236,Shape creature's dreams.  See Sourcebook.,,Illusion,,,,,,,,
Fear,3,,1 action,Self,30 ft. cone,V,S,M,white feather or hen heart,,Concentration,1 minute,WIS (Fail),,,239,Targets drop everything and use Dash to run away. WIS save once out of sight.,,Illusion,,,,,,,,
Greater Invisibility,4,,1 action,Touch,Self or willing creature,V,S,,,,Concentration,1 minute,,,,246,Become invisible until spell ends.,,Illusion,,,,,,,,
Hallucinatory Terrain,4,,10 minutes,300 ft.,150 ft. cube,V,S,M,"stone, twig, bit of green plant",,,24 hours,,,,249,Make natural terrain seem like other terrain. Investigation check to disbelieve.,,Illusion,,,,,,,,
Hypnotic Pattern,3,,1 action,120 ft.,30 ft. cube,,S,M,glowing stick of incense,,Concentration,1 minute,WIS (Fail),,,252,"Creatures charmed, incapacitated, speed = 0. Spell ends on DAM or shaking.",,Illusion,,,,,,,,
Illusory Script,1,Ritual,1 minute,Touch,writing surface,,S,M,LEAD-BASED INK,10 gp,,10 days,,,,252,Write magical script on surface that only designated people can read.,,Illusion,,,,,,,,
Invisibility,2,,1 action,Touch,1 creature,V,S,M,eyelash in gum arabic,,Concentration,1 hour,,,,254,Target becomes invisible. Ends if target attacks or casts a spell.,One additional creature.,Illusion,,,,,,,,
Magic Mouth,2,Ritual,1 minute,30 ft.,1 object,V,S,M,honeycomb and JADE DUST,10 gp,,Until Dispelled,,,,257,Magic mouth repeats <= 25 word message once condition is met.,,Illusion,,,,,,,,
Major Image,3,,1 action,120 ft.,20 ft. cube,V,S,M,bit of fleece,,Concentration,10 minutes,,,,258,"Create image of object including sounds, smells. Investigation check to foil.",6th: lasts until dispelled,Illusion,,,,,,,,
Minor Illusion,0,,1 action,30 ft.,5 ft. cube,,S,M,bit of fleece,,,1 minute,,,,260,Create illusory sound or image. Investigation check against spell DC to detect.,,Illusion,,,,,,,,
Mirage Arcane,7,,10 minutes,Sight,1 square mile,V,S,,,,,10 days,,,,260,"Create audo,visual,tactile, and olfactory illusion. Only Truesight can detect.",,Illusion,,,,,,,,
Mirror Image,2,,1 action,Self,Self,V,S,,,,,1 minute,,,,260,Create duplicates that make you harder to hit.  See Sourcebook.,,Illusion,,,,,,,,
Mislead,5,,1 action,Self,Self,,S,,,,Concentration,1 hour,,,,260,Become invisible and create illusory double. Use action to move your double.,,Illusion,,,,,,,,
Nystul's Magic Aura,2,,1 action,Touch,1 creature or object,V,S,M,small square of silk,,,24 hours,,,,263,Divination spells reveal false info about target.  See Sourcebook.,,Illusion,,,,,,,,
Phantasmal Force,2,,1 action,60 ft.,1 creature,V,S,M,bit of fleece,,Concentration,1 minute,INT (Fail),,,264,Affect target with illusion. Can DAM for 1d6 Psychic. See Sourcebook.,,Illusion,,,,,,,,
Phantasmal Killer,4,,1 action,120 ft.,1 creature,V,S,,,,Concentration,1 minute,WIS (Fail),Psychic,DAM: 4d10,265,Target is frightened and takes DAM at start of turn if it doesn't save.,Extra 1d10 DAM.,Illusion,,,,,,,,
Phantom Steed,3,Ritual,1 minute,30 ft.,,V,S,,,,,1 hour,,,,265,You and 1 other can ride phantom steed. Speed=100ft or 10mph (13 fast).,,Illusion,,,,,,,,
Programmed Illusion,6,,1 action,120 ft.,30 ft. cube,V,S,M,"fleece, jade dust",25 gp,,Until Dispelled,,,,269,Create illusion that performs specific action triggered by specific action.,,Illusion,,,,,,,,
Project Image,7,,1 action,500 miles,,V,S,M,small replica of self,5 gp,Concentration,1 day,,,,270,Create image of self you can see/hear/speak/move (x2 speed) through.,,Illusion,,,,,,,,
Seeming,5,,1 action,30 ft.,Any creatures in range,V,S,,,,,8 hours,CHA (Fail),,,274,"Disguise willing or unwillig creatures as other similar creatures, including outfits.",,Illusion,,,,,,,,
Silent Image,1,,1 action,60 ft.,15 ft. cube,V,S,M,bit of fleece,,Concentration,10 minutes,,,,276,Create visual-only illusion. Use action to make it move. Investigation to discover.,,Illusion,,,,,,,,
Simulacrum,7,,12 hours,Touch,,V,S,M,See Sourcebook.,1500 gp,,Until Dispelled,,,,276,Create duplicate of beast or humanoid that obeys your commands.,,Illusion,,,,,,,,
Weird,9,,1 action,120 ft.,30 ft. radius,V,S,,,,Concentration,1 minute,WIS (Fail),Psychic,DAM: 4d10,288,Affected creatures make WIS saves each turn and take DAM until they save.,,Illusion,,,,,,,,
Animate Dead,3,,1 minute,10 ft.,<= Medium corpse,V,S,M,"blood, flesh, bone",,,Instantaneous,,,,212,Creates skeleton or zombie servant that accepts simple directions,Two more undead,Necromancy,,,,,,,,
Astral Projection,9,,1 hour,10 ft.,Self and 8 willing targets,V,S,M,"JACINTH(1k), SILVER(100)",1100 gp,,Special,,,,215,Project to Astral Plane.  See Sourcebook.,,Necromancy,,,,,,,,
Bestow Curse,3,,1 action,Touch,1 creature,V,S,,,,Concentration,1 minute,WIS (Fail),,,218,Curse target.  See Sourcebook.,See Sourcebook.,Necromancy,,,,,,,,
Blight,4,,1 action,30 ft.,1 creature,V,S,,,,,Instantaneous,CON (Half DAM),Necrotic,DAM: 8d8,219,Plants have disadvantage on save and take max DAM.,Extra 1d8 DAM.,Necromancy,,,,,,,,
Blindness/Deafness,2,,1 action,30 ft.,1 creature,V,,,,,,1 minute,CON per turn (Fail),,,219,Target becomes blind or deaf (your choice).,One more creature.,Necromancy,,,,,,,,
Chill Touch,0,,1 action,120 ft.,1 creature,V,S,,,,,1 round,Ranged Spell Attack,Necrotic,DAM: 1d6,221,"Extra 1d6 DAM at 5th level, 11th level, and 17th level. Can't regain HP.",,Necromancy,,,,,,,,
Circle of Death,6,,1 action,150 ft.,60 ft. radius sphere,V,S,M,crushed black pearl,500 gp,,Instantaneous,CON (Half DAM),Necrotic,DAM: 8d6,221,,Extra 2d6 DAM.,Necromancy,,,,,,,,
Clone,8,,1 hour,Touch,,V,S,M,See Sourcebook.,3000 gp,,Instantaneous,,,,222,Create clone of living person; soul transfers to clone if original dies.,,Necromancy,,,,,,,,
Create Undead,6,,1 minute,10 ft.,,V,S,M,See Sourcebook.,Source,,Instantaneous,,,,229,Create undead to serve you for 24 hours.  See Sourcebook.,See Sourcebook.,Necromancy,,,,,,,,
Eyebite,6,,1 action,Self,1 creature within 60 ft.,V,S,,,,Concentration,1 minute,WIS (Fail),,,238,Affect targets negatively.  New target each turn.  See Sourcebook.,,Necromancy,,,,,,,,
False Life,1,,1 action,Self,Self,V,S,M,alcohol or distilled spirits,,,1 hour,,,,239,You gain 1d4+4 temp HP.,Extra 5 temp HP.,Necromancy,,,,,,,,
Feign Death,3,Ritual,1 action,Touch,1 willing creature,V,S,M,pinch of graveyard dirt,,,1 hour,,,,240,Creature appears dead.  Resists all non-psychic DMG. Disease/poison delayed.,,Necromancy,,,,,,,,
Finger of Death,7,,1 action,60 ft.,1 creature,V,S,,,,,Instantaneous,CON (Half DAM),Necrotic,DAM: 7d8+30,241,Humanoids killed rise as a zombie next turn permanently under your control.,,Necromancy,,,,,,,,
Gentle Repose,2,Ritual,1 action,Touch,1 corpse,V,S,M,salt and 1 cp on each eye,,,10 days,,,,245,Preserves corpse.  Extends time limit of Raise Dead spell.,,Necromancy,,,,,,,,
Magic Jar,6,,1 minute,Self,,V,S,M,ornamental container,500 gp,,Until Dispelled,,,,257,Your soul enters an external object.  See sourcebook.,,Necromancy,,,,,,,,
Ray of Enfeeblement,2,,1 action,60 ft.,1 creature in range,V,S,,,,Concentration,1 minute,Ranged Spell Attack,,,271,Target deals 1/2 DMG with STR weapon attacks. CON save to end at turn's end.,,Necromancy,,,,,,,,
Ray of Sickness,1,,1 action,60 ft.,1 creature in range,V,S,,,,,Instantaneous,Ranged Spell Attack,Poison,DAM: 2k8,271,"Target also makes CON save. On fail, poisoned until end of next turn.",Extra 1d8 DAM.,Necromancy,,,,,,,,
Vampiric Touch,3,,1 action,Self,Self,V,S,,,,Concentration,1 minute,Melee Spell Attack,Necrotic,DAM: 3d6,285,"Each time you hit a target, you also HEAL half of the DAM you cause.",Extra 1d6 DAM.,Necromancy,,,,,,,,
Alter Self,2,,1 action,Self,Self,V,S,,,,Concentration,1 hour,,,,211,"Choose one: breathe/swim underwater, natural weapons, change appearance",,Transmutation,,,,,,,,
Animate Objects,5,,1 action,120 ft.,<= 10 objects,V,S,,,,Concentration,1 minute,,,,213,Animate objects to accept simple commands.,Two more objects,Transmutation,,,,,,,,
Blink,3,,1 action,Self,Self,V,S,,,,,1 minute,,,,219,Roll 11 or higher to go to Ethereal plane between turns; reapper within 10ft.,,Transmutation,,,,,,,,
Control Water,4,,1 action,300 ft.,100 ft. cube,V,S,M,"water drop, pinch of dust",,Concentration,10 minutes,,,,227,Control water.  See Sourcebook.,,Transmutation,,,,,,,,
Control Weather,8,,10 minutes,Self,5 mile radius,V,S,M,"incense, earth&wood in water",,Concentration,8 hours,,,,228,Control the weather.  See Sourcebook.,,Transmutation,,,,,,,,
Darkvision,2,,1 action,Touch,1 willing creature,V,S,M,dried carrot or agate,,,8 hours,,,,230,Grants creature darkvision (60 ft.) but can't see in Darkness aura.,,Transmutation,,,,,,,,
Disintegrate,6,,1 action,60 ft.,1 creature,V,S,M,lodestone and pinch of dust,,,Instantaneous,DEX (Fail),Force,DAM: 10d6+40,233,"If target drops to 0 HP, is disintegrated. Only revived by True Resurrection.",Extra 3d6 DAM.,Transmutation,,,,,,,,
Enlarge/Reduce,2,,1 action,30 ft.,1 creature or object,V,S,M,powdered iron,,Concentration,1 minute,CON (Fail),,,237,Enlarge or reduce target.  See Sourcebook.,,Transmutation,,,,,,,,
Etherealness,7,,1 action,Self,Self,V,S,,,,,Up to 8 hours,,,,238,Become ethereal.  Move up/down at half speed.  Can't see past 60 ft.,8th:3 targets;9th: 6 targets,Transmutation,,,,,,,,
Expeditious Retreat,1,,1 bonus action,Self,Self,V,S,,,,Concentration,10 minutes,,,,238,You can take Dash as a bonus action until spell ends.,,Transmutation,,,,,,,,
Fabricate,4,,10 minutes,120 ft.,10 ft. cube,V,S,,,,,Instantaneous,,,,239,Convert raw materials into object no bigger than 5 ft. cube.,,Transmutation,,,,,,,,
Feather Fall,1,,1 reaction (falling),60 ft.,<= 5 falling creatures,V,,M,small feather or piece of down,,,1 minute,,,,239,"Targets' descent slows to 60 ft. per round, takes no DAM, and can land on feet.",,Transmutation,,,,,,,,
Flesh to Stone,6,,1 action,60 ft.,1 creature,V,S,M,"pinch of lime, water, and earth",,Concentration,1 minute,CON (Fail),,,243,Restrained on first fail. Petrified after 3 fails.,,Transmutation,,,,,,,,
Fly,3,,1 action,Touch,1 willing creature,V,S,M,bird's wing feather,,Concentration,10 minutes,,,,243,Target gains fly (60 ft.).  Fall if spell ends while in air.,One additional creature.,Transmutation,,,,,,,,
Gaseous Form,3,,1 action,Touch,1 willing creature,V,S,M,bit of gauze and wisp of smoke,,Concentration,1 hour,,,,244,Cloud form. Fly(10ft.). Resist nonmagical DMG. STR/DEX/CON save advantage.,,Transmutation,,,,,,,,
Haste,3,,1 action,30 ft.,1 willing creature,V,S,M,shaving of licorice root,,Concentration,1 minute,,,,250,Doubles speed. +2 AC. Advantage on DEX saves. Additional action to Dash.,,Transmutation,,,,,,,,
Jump,1,,1 action,Touch,1 creature,V,S,M,grasshopper's hind leg,,,1 minute,,,,254,Target's jump distance tripled until spell ends.,,Transmutation,,,,,,,,
Knock,2,,1 action,60 ft.,1 openable object,V,,,,,,Instantaneous,,,,254,Open mundane lock or suppress an Arcane Lock for 10 minutes. Loud knock.,,Transmutation,,,,,,,,
Levitate,2,,1 action,60 ft.,1 creature or object,V,S,M,small leather loop or golden wire,,Concentration,10 minutes,CON (Fail),,,255,Target <= 500 lbs. floats 20 ft.Can move up/down 20ft./turn. Floats down on end.,,Transmutation,,,,,,,,
Longstrider,1,,1 action,Touch,1 creature,V,S,M,pinch of dirt,,,1 hour,,,,256,Target's speed increases by 10 ft.,One additional creature.,Transmutation,,,,,,,,
Magic Weapon,2,,1 bonus action,Touch,1 nonmagical weapon,V,S,,,,Concentration,1 hour,,,,257,Nonmagical weapon becomes +1.,"4th: +2 weapon,6th: +3",Transmutation,,,,,,,,
Mending,0,,1 minute,Touch,1 object,V,S,M,two lodestones,,,Instantaneous,,,,259,Mends one break or tear no larger than 1ft. in a mundane object.,,Transmutation,,,,,,,,
Message,0,,1 action,120 ft.,1 creature in range,V,S,M,piece of copper wire,,,1 round,,,,259,Point at target and whisper a message. They can whisper a response.,,Transmutation,,,,,,,,
Move Earth,6,,1 action,120 ft.,40 ft. square of terrain,V,S,M,"iron blade, bag of soil",,Concentration,2 hours,,,,263,"Reshape dirt, sand, or clay. Can move to different square after 10 minutes.",,Transmutation,,,,,,,,
Passwall,5,,1 action,30 ft.,,V,S,M,pinch of sesame seeds,,,1 hour,,,,264,"Create 5ft wide, 8ft tall,20ft deep opening in wall, ceiling, or floor.",,Transmutation,,,,,,,,
Polymorph,4,,1 action,60 ft.,1 creature,V,S,M,caterpillar cocoon,,Concentration,1 hour,WIS (Fail),,,266,Transform creature's form. All stats change. Limited to actions of new form.,,Transmutation,,,,,,,,
Prestidigitation,0,,1 action,10 ft.,,V,S,,,,,1 hour,,,,267,Create minor magical effect.  See Sourcebook.,,Transmutation,,,,,,,,
Reverse Gravity,7,,1 action,100 ft.,50 ft. radius,V,S,M,lodestone and iron filings,,Concentration,1 minute,DEX (grab fixed object),,,272,"Creatures fall upwards, taking falling damage. Fall again once spell ends.",,Transmutation,,,,,,,,
Rope Trick,2,,1 action,Touch,60 ft. rope,V,S,M,"powdered corn, parchment loop",,,1 hour,,,,272,Climb rope to other space that can hide 8 Medium creatures. Can see outside.,,Transmutation,,,,,,,,
Sequester,7,,1 action,Touch,1 willing creature or object,V,S,M,GEM POWDER,5000 gp,,Until Dispelled,,,,274,"Hide target from detection, falls into suspended animation. Condition can end it.",,Transmutation,,,,,,,,
Shapechange,9,,1 action,Self,Self,V,S,M,jade circlet,1500 gp,Concentration,1 hour,,,,274,Assume the form of a different creature.  See Sourcebook.,,Transmutation,,,,,,,,
Slow,3,,1 action,120 ft.,<= 6 creatures in 40 ft. cube,V,S,M,drop of molasses,,Concentration,1 minute,WIS (Fail),,,277,Affected creatures become slowed.  See Sourcebook.,,Transmutation,,,,,,,,
Spider Climb,2,,1 action,Touch,1 willing creature,V,S,M,spider and drop of bitumen,,Concentration,1 hour,,,,277,Target can walk on walls or ceiling. Climbing speed becomes walking speed.,,Transmutation,,,,,,,,
Stone Shape,4,,1 action,Touch,5 ft. cube,V,S,M,soft clay in desired shape,,,Instantaneous,,,,278,Reshape stone into any rough shape you wish.,,Transmutation,,,,,,,,
Telekinesis,5,,1 action,60 ft.,Creatures or objects in range,V,S,,,,Concentration,10 minutes,,,,280,Move objects or creatures with your mind.  See Sourcebook.,,Transmutation,,,,,,,,
Time Stop,9,,1 action,Self,,V,,,,,,Instantaneous,,,,283,Stop time. Take 1d4+1 turns alone. Spell ends if you affect others in any way.,,Transmutation,,,,,,,,
True Polymorph,9,,1 action,30 ft.,1 creature or nonmagical object,V,S,M,"mercury, gum arabic, smoke",,Concentration,1 hour,,,,283,Transform a creature/object into a different creature/object.  See Sourcebook.,,Transmutation,,,,,,,,
Water Breathing,3,Ritual,1 action,30 ft.,<= 10 willing creatures,V,S,M,short reed or piece of straw,,,24 hours,,,,287,Creatures gain ability to breathe underwater using normal respiration.,,Transmutation,,,,,,,,